Simulation time (in s),avgServedBlocksUl-SingleCell_withSecondaryGnb-masterEnb  #comment:- Number of resource block (values in blocks) by Enb in uplink with total reource blocks=12.,Simulation time (in s),avgServedBlocksUl-SingleCell_withSecondaryGnb-secondaryGnb  #comment:- Number of resource block (values in blocks) by Gnb in uplink with total reource blocks=12.
0.001,0,0.001,0
0.002,0,0.002,0
0.003,1,0.003,1
0.004,0,0.004,0
0.005,1,0.005,0
0.006,2,0.006,2
0.007,0,0.007,1
0.008,2,0.008,1
0.009,1,0.009,2
0.01,2,0.01,0
0.011,1,0.011,0
0.012,0,0.012,2
0.013,0,0.013,0
0.014,0,0.014,3
0.015,0,0.015,1
0.016,0,0.016,0
0.017,0,0.017,0
0.018,0,0.018,0
0.019,0,0.019,0
0.02,0,0.02,1
0.021,0,0.021,0
0.022,0,0.022,1
0.023,1,0.023,1
0.024,0,0.024,0
0.025,1,0.025,0
0.026,2,0.026,2
0.027,0,0.027,1
0.028,2,0.028,1
0.029,1,0.029,2
0.03,2,0.03,0
0.031,1,0.031,0
0.032,0,0.032,2
0.033,0,0.033,0
0.034,1,0.034,3
0.035,0,0.035,1
0.036,1,0.036,0
0.037,0,0.037,0
0.038,0,0.038,0
0.039,0,0.039,0
0.04,0,0.04,1
0.041,0,0.041,0
0.042,0,0.042,1
0.043,0,0.043,1
0.044,0,0.044,0
0.045,1,0.045,0
0.046,0,0.046,2
0.047,0,0.047,1
0.048,2,0.048,1
0.049,0,0.049,1
0.05,2,0.05,0
0.051,1,0.051,0
0.052,0,0.052,1
0.053,0,0.053,0
0.054,1,0.054,3
0.055,0,0.055,0
0.056,1,0.056,0
0.057,0,0.057,0
0.058,0,0.058,0
0.059,0,0.059,0
0.06,0,0.06,1
0.061,0,0.061,0
0.062,0,0.062,1
0.063,0,0.063,1
0.064,0,0.064,0
0.065,1,0.065,0
0.066,0,0.066,2
0.067,0,0.067,1
0.068,3,0.068,1
0.069,0,0.069,1
0.07,2,0.07,0
0.071,3,0.071,0
0.072,0,0.072,1
0.073,0,0.073,0
0.074,3,0.074,3
0.075,0,0.075,0
0.076,1,0.076,0
0.077,2,0.077,0
0.078,0,0.078,0
0.079,0,0.079,0
0.08,0,0.08,3
0.081,0,0.081,0
0.082,0,0.082,1
0.083,1,0.083,1
0.084,0,0.084,0
0.085,1,0.085,0
0.086,2,0.086,2
0.087,0,0.087,1
0.088,2,0.088,1
0.089,0,0.089,1
0.09,2,0.09,0
0.091,4,0.091,0
0.092,0,0.092,1
0.093,0,0.093,0
0.094,2,0.094,3
0.095,0,0.095,0
0.096,2,0.096,0
0.097,2,0.097,0
0.098,0,0.098,0
0.099,0,0.099,0
0.1,0,0.1,2
0.101,0,0.101,0
0.102,0,0.102,1
0.103,1,0.103,1
0.104,0,0.104,0
0.105,1,0.105,0
0.106,2,0.106,2
0.107,0,0.107,1
0.108,2,0.108,1
0.109,1,0.109,1
0.11,2,0.11,0
0.111,4,0.111,0
0.112,2,0.112,1
0.113,0,0.113,0
0.114,2,0.114,2
0.115,0,0.115,1
0.116,2,0.116,0
0.117,2,0.117,0
0.118,0,0.118,0
0.119,1,0.119,0
0.12,0,0.12,1
0.121,0,0.121,0
0.122,0,0.122,1
0.123,1,0.123,1
0.124,0,0.124,0
0.125,3,0.125,0
0.126,2,0.126,3
0.127,0,0.127,1
0.128,1,0.128,1
0.129,1,0.129,1
0.13,2,0.13,0
0.131,2,0.131,0
0.132,0,0.132,2
0.133,0,0.133,0
0.134,0,0.134,2
0.135,0,0.135,0
0.136,2,0.136,0
0.137,0,0.137,0
0.138,0,0.138,0
0.139,0,0.139,0
0.14,0,0.14,1
0.141,0,0.141,0
0.142,1,0.142,1
0.143,1,0.143,1
0.144,0,0.144,0
0.145,1,0.145,0
