"avgServedBlocksDl:vector MultiCell_withSecondaryGnb.masterEnb1.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - MultiCell-CBR-DL-0-20211017-22:40:34-2554)",,"avgServedBlocksDl:vector MultiCell_withSecondaryGnb.secondaryGnb1.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - MultiCell-CBR-DL-0-20211017-22:40:34-2554)",,"avgServedBlocksDl:vector MultiCell_withSecondaryGnb.masterEnb2.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - MultiCell-CBR-DL-0-20211017-22:40:34-2554)",,"avgServedBlocksDl:vector MultiCell_withSecondaryGnb.secondaryGnb2.cellularNic.mac ($carrierFreq0=2GHz, $carrierBands0=6, $carrierFreq1=6GHz, $carrierBands1=6, $nrCarrier=0, $numUe=10, $numUeApps=2, #0 - MultiCell-CBR-DL-0-20211017-22:40:34-2554)",
0.001,0,0.001,0,0.001,0,0.001,0
0.002,0,0.002,0,0.002,0,0.002,0
0.003,0,0.003,0,0.003,0,0.003,0
0.004,0,0.004,0,0.004,0,0.004,0
0.005,0,0.005,0,0.005,0,0.005,0
0.006,0,0.006,0,0.006,0,0.006,0
0.007,0,0.007,0,0.007,0,0.007,0
0.008,0,0.008,0,0.008,0,0.008,0
0.009,0,0.009,0,0.009,0,0.009,0
0.01,0,0.01,0,0.01,0,0.01,0
0.011,1,0.011,0,0.011,0,0.011,0
0.012,0,0.012,3,0.012,0,0.012,0
0.013,1,0.013,2,0.013,0,0.013,0
0.014,4,0.014,2,0.014,0,0.014,0
0.015,3,0.015,1,0.015,0,0.015,0
0.016,3,0.016,1,0.016,0,0.016,0
0.017,2,0.017,0,0.017,0,0.017,0
0.018,2,0.018,1,0.018,0,0.018,0
0.019,2,0.019,2,0.019,0,0.019,0
0.02,6,0.02,2,0.02,0,0.02,0
0.021,0,0.021,0,0.021,0,0.021,0
0.022,0,0.022,0,0.022,0,0.022,0
0.023,0,0.023,0,0.023,0,0.023,0
0.024,0,0.024,0,0.024,0,0.024,0
0.025,0,0.025,0,0.025,0,0.025,0
0.026,1,0.026,1,0.026,0,0.026,0
0.027,0,0.027,0,0.027,0,0.027,0
0.028,0,0.028,0,0.028,0,0.028,0
0.029,0,0.029,0,0.029,0,0.029,0
0.03,0,0.03,0,0.03,0,0.03,0
0.031,1,0.031,0,0.031,0,0.031,0
0.032,0,0.032,3,0.032,0,0.032,0
0.033,1,0.033,2,0.033,0,0.033,0
