Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-masterEnb1 #comment:- Number of resource block (values in blocks) by Enb1 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-secondaryGnb1 #comment:- Number of resource block (values in blocks) by Gnb1 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-masterEnb2  #comment:- Number of resource block (values in blocks) by Enb2 in downlink with total reource blocks=50.,Simulation time (in s),avgServedBlocksDl-MultiCell_withSecondaryGnb-secondaryGnb2   #comment:- Number of resource block (values in blocks) by Gnb2 in downlink with total reource blocks=50.
0.001,0,0.001,0,0.001,0,0.001,0
0.002,0,0.002,0,0.002,0,0.002,0
0.003,0,0.003,0,0.003,0,0.003,0
0.004,0,0.004,0,0.004,0,0.004,0
0.005,0,0.005,0,0.005,0,0.005,0
0.006,0,0.006,0,0.006,0,0.006,0
0.007,0,0.007,0,0.007,0,0.007,0
0.008,0,0.008,0,0.008,0,0.008,0
0.009,0,0.009,0,0.009,0,0.009,0
0.01,0,0.01,0,0.01,0,0.01,0
0.011,1,0.011,0,0.011,0,0.011,0
0.012,0,0.012,3,0.012,0,0.012,0
0.013,1,0.013,2,0.013,0,0.013,0
0.014,3,0.014,2,0.014,0,0.014,0
0.015,2,0.015,1,0.015,0,0.015,0
0.016,1,0.016,1,0.016,0,0.016,0
0.017,2,0.017,0,0.017,0,0.017,0
0.018,0,0.018,1,0.018,0,0.018,0
0.019,1,0.019,1,0.019,0,0.019,0
0.02,4,0.02,1,0.02,0,0.02,0
0.021,0,0.021,0,0.021,0,0.021,0
0.022,0,0.022,0,0.022,0,0.022,0
0.023,0,0.023,0,0.023,0,0.023,0
0.024,0,0.024,0,0.024,0,0.024,0
0.025,0,0.025,0,0.025,0,0.025,0
0.026,0,0.026,0,0.026,0,0.026,0
0.027,0,0.027,0,0.027,0,0.027,0
0.028,0,0.028,0,0.028,0,0.028,0
0.029,0,0.029,0,0.029,0,0.029,0
0.03,0,0.03,0,0.03,0,0.03,0
0.031,1,0.031,0,0.031,0,0.031,0
0.032,0,0.032,2,0.032,0,0.032,0
0.033,1,0.033,2,0.033,0,0.033,0
0.034,1,0.034,2,0.034,0,0.034,0
0.035,1,0.035,0,0.035,0,0.035,0
0.036,1,0.036,1,0.036,0,0.036,0
0.037,0,0.037,0,0.037,0,0.037,0
0.038,0,0.038,0,0.038,0,0.038,0
0.039,1,0.039,0,0.039,0,0.039,0
0.04,1,0.04,1,0.04,0,0.04,0
0.041,0,0.041,0,0.041,0,0.041,0
0.042,0,0.042,0,0.042,0,0.042,0
0.043,0,0.043,0,0.043,0,0.043,0
0.044,0,0.044,0,0.044,0,0.044,0
0.045,0,0.045,0,0.045,0,0.045,0
