Simulation time (in s),avgServedBlocksDl-SingleCell_withSecondaryGnb-masterEnb #comment:- Number of resource block (values in blocks) by Enb in downlink with total reource blocks=50.,Simulation time (in sec),avgServedBlocksDl-SingleCell_withSecondaryGnb-secondarygnb #comment:- Number of resource block (values in blocks) by gnb in downlink with total reource blocks=50.
0.001,0,0.001,0
0.002,0,0.002,0
0.003,0,0.003,0
0.004,0,0.004,0
0.005,0,0.005,0
0.006,0,0.006,0
0.007,0,0.007,0
0.008,0,0.008,0
0.009,0,0.009,0
0.01,0,0.01,0
0.011,1,0.011,0
0.012,0,0.012,3
0.013,1,0.013,2
0.014,2,0.014,2
0.015,1,0.015,1
0.016,1,0.016,1
0.017,1,0.017,0
0.018,0,0.018,0
0.019,1,0.019,1
0.02,2,0.02,0
0.021,1,0.021,1
0.022,0,0.022,0
0.023,0,0.023,0
0.024,0,0.024,0
0.025,0,0.025,1
0.026,0,0.026,0
0.027,0,0.027,0
0.028,0,0.028,0
0.029,0,0.029,0
0.03,0,0.03,0
0.031,1,0.031,0
0.032,0,0.032,3
0.033,1,0.033,2
0.034,2,0.034,2
0.035,1,0.035,1
0.036,1,0.036,1
0.037,1,0.037,0
0.038,0,0.038,0
0.039,1,0.039,1
0.04,2,0.04,0
0.041,1,0.041,1
0.042,0,0.042,0
0.043,0,0.043,0
0.044,0,0.044,0
0.045,0,0.045,1
0.046,0,0.046,0
0.047,0,0.047,0
0.048,0,0.048,0
0.049,0,0.049,0
0.05,0,0.05,0
0.051,1,0.051,0
0.052,0,0.052,3
0.053,1,0.053,2
0.054,2,0.054,2
0.055,1,0.055,1
0.056,1,0.056,1
0.057,1,0.057,0
0.058,0,0.058,0
0.059,1,0.059,1
0.06,2,0.06,0
0.061,0,0.061,1
0.062,0,0.062,0
0.063,0,0.063,0
0.064,0,0.064,0
0.065,0,0.065,0
0.066,0,0.066,0
0.067,0,0.067,0
0.068,0,0.068,0
0.069,0,0.069,0
0.07,0,0.07,0
0.071,1,0.071,0
0.072,0,0.072,3
0.073,1,0.073,2
0.074,2,0.074,2
0.075,1,0.075,1
0.076,1,0.076,1
0.077,1,0.077,0
0.078,0,0.078,1
0.079,1,0.079,1
0.08,2,0.08,0
0.081,1,0.081,1
0.082,0,0.082,0
0.083,0,0.083,0
0.084,0,0.084,0
0.085,0,0.085,1
0.086,0,0.086,0
0.087,0,0.087,0
0.088,0,0.088,0
0.089,0,0.089,0
0.09,0,0.09,0
0.091,1,0.091,0
0.092,0,0.092,3
0.093,1,0.093,2
0.094,2,0.094,2
0.095,1,0.095,1
0.096,1,0.096,1
0.097,1,0.097,0
0.098,0,0.098,1
0.099,1,0.099,1
0.1,2,0.1,0
0.101,1,0.101,1
0.102,0,0.102,0
0.103,0,0.103,0
0.104,0,0.104,0
0.105,0,0.105,0
0.106,0,0.106,0
0.107,0,0.107,0
0.108,0,0.108,0
0.109,0,0.109,0
0.11,0,0.11,0
0.111,1,0.111,0
0.112,0,0.112,3
0.113,1,0.113,2
0.114,2,0.114,2
0.115,1,0.115,1
0.116,1,0.116,1
0.117,1,0.117,0
0.118,0,0.118,0
0.119,1,0.119,1
0.12,2,0.12,0
0.121,1,0.121,1
0.122,0,0.122,0
0.123,0,0.123,0
0.124,0,0.124,0
0.125,0,0.125,0
0.126,0,0.126,0
0.127,1,0.127,0
0.128,0,0.128,0
0.129,0,0.129,0
0.13,0,0.13,0
0.131,1,0.131,0
0.132,0,0.132,3
0.133,1,0.133,2
0.134,2,0.134,2
0.135,1,0.135,1
0.136,1,0.136,1
0.137,1,0.137,0
0.138,0,0.138,0
0.139,1,0.139,1
0.14,2,0.14,0
0.141,1,0.141,1
0.142,0,0.142,0
0.143,0,0.143,0
0.144,0,0.144,0
0.145,0,0.145,0
0.146,0,0.146,0
